time (s),Parameter,dV(out),dV(vdd)
1.900000e-09,M1_VTO,-3.916641e-02,-0.000000e+00
1.900000e-09,M1_KP,1.574917e+03,0.000000e+00
1.900000e-09,M1_MU,0.000000e+00,0.000000e+00
1.900000e-09,M1_COX,0.000000e+00,0.000000e+00
1.900000e-09,C1,5.345985e+10,0.000000e+00
2.000000e-09,V1,3.509938e-02,1.000000e+00
2.000000e-09,V2,-3.894171e-02,0.000000e+00
2.000000e-09,R1,-1.560260e-05,0.000000e+00
2.000000e-09,M1_W,7.832415e+04,0.000000e+00
2.000000e-09,M1_L,-1.566483e+05,-0.000000e+00
2.000000e-09,M1_VTO,-3.894174e-02,-0.000000e+00
2.000000e-09,M1_KP,1.566483e+03,0.000000e+00
2.000000e-09,M1_MU,0.000000e+00,0.000000e+00
2.000000e-09,M1_COX,0.000000e+00,0.000000e+00
2.000000e-09,C1,2.161997e+10,0.000000e+00
2.100000e-09,V1,3.509632e-02,1.000000e+00
2.100000e-09,V2,-3.885098e-02,0.000000e+00
2.100000e-09,R1,-1.560561e-05,0.000000e+00
2.100000e-09,M1_W,7.815370e+04,0.000000e+00
2.100000e-09,M1_L,-1.563074e+05,-0.000000e+00
2.100000e-09,M1_VTO,-3.885099e-02,-0.000000e+00
2.100000e-09,M1_KP,1.563074e+03,0.000000e+00
2.100000e-09,M1_MU,0.000000e+00,0.000000e+00
2.100000e-09,M1_COX,0.000000e+00,0.000000e+00
2.100000e-09,C1,8.735125e+09,0.000000e+00
2.200000e-09,V1,3.509508e-02,1.000000e+00
2.200000e-09,V2,-3.881434e-02,0.000000e+00
2.200000e-09,R1,-1.560682e-05,0.000000e+00
2.200000e-09,M1_W,7.808486e+04,0.000000e+00
2.200000e-09,M1_L,-1.561697e+05,-0.000000e+00
2.200000e-09,M1_VTO,-3.881434e-02,-0.000000e+00
2.200000e-09,M1_KP,1.561697e+03,0.000000e+00
2.200000e-09,M1_MU,0.000000e+00,0.000000e+00
2.200000e-09,M1_COX,0.000000e+00,0.000000e+00
2.200000e-09,C1,3.527899e+09,0.000000e+00
2.300000e-09,V1,3.509458e-02,1.000000e+00
2.300000e-09,V2,-3.879954e-02,0.000000e+00
2.300000e-09,R1,-1.560731e-05,0.000000e+00
2.300000e-09,M1_W,7.805705e+04,0.000000e+00
2.300000e-09,M1_L,-1.561141e+05,-0.000000e+00
2.300000e-09,M1_VTO,-3.879954e-02,-0.000000e+00
2.300000e-09,M1_KP,1.561141e+03,0.000000e+00
2.300000e-09,M1_MU,0.000000e+00,0.000000e+00
2.300000e-09,M1_COX,0.000000e+00,0.000000e+00
2.300000e-09,C1,1.424608e+09,0.000000e+00
2.400000e-09,V1,3.509438e-02,1.000000e+00
2.400000e-09,V2,-3.879356e-02,0.000000e+00
2.400000e-09,R1,-1.560751e-05,0.000000e+00
2.400000e-09,M1_W,7.804583e+04,0.000000e+00
2.400000e-09,M1_L,-1.560917e+05,-0.000000e+00
2.400000e-09,M1_VTO,-3.879356e-02,-0.000000e+00
2.400000e-09,M1_KP,1.560917e+03,0.000000e+00
2.400000e-09,M1_MU,0.000000e+00,0.000000e+00
2.400000e-09,M1_COX,0.000000e+00,0.000000e+00
2.400000e-09,C1,5.752381e+08,0.000000e+00
2.500000e-09,V1,3.509430e-02,1.000000e+00
2.500000e-09,V2,-3.879115e-02,0.000000e+00
