time (s),Parameter,dV(out),dV(in)
9.000000e-04,V1,4.761905e-02,1.000000e+00
9.000000e-04,R1,-3.069832e-08,0.000000e+00
9.000000e-04,C1,-6.462805e+02,-0.000000e+00
9.100000e-04,V1,4.761905e-02,1.000000e+00
9.100000e-04,R1,-2.777467e-08,0.000000e+00
9.100000e-04,C1,-5.847300e+02,-0.000000e+00
9.200000e-04,V1,4.761905e-02,1.000000e+00
9.200000e-04,R1,-2.512947e-08,0.000000e+00
9.200000e-04,C1,-5.290414e+02,-0.000000e+00
9.300000e-04,V1,4.761905e-02,1.000000e+00
9.300000e-04,R1,-2.273618e-08,0.000000e+00
9.300000e-04,C1,-4.786565e+02,-0.000000e+00
9.400000e-04,V1,4.761905e-02,1.000000e+00
9.400000e-04,R1,-2.057083e-08,0.000000e+00
9.400000e-04,C1,-4.330702e+02,-0.000000e+00
9.500000e-04,V1,4.761905e-02,1.000000e+00
9.500000e-04,R1,-1.861171e-08,0.000000e+00
9.500000e-04,C1,-3.918254e+02,-0.000000e+00
9.600000e-04,V1,4.761905e-02,1.000000e+00
9.600000e-04,R1,-1.683916e-08,0.000000e+00
9.600000e-04,C1,-3.545087e+02,-0.000000e+00
9.700000e-04,V1,4.761905e-02,1.000000e+00
9.700000e-04,R1,-1.523543e-08,0.000000e+00
9.700000e-04,C1,-3.207460e+02,-0.000000e+00
9.800000e-04,V1,4.761905e-02,1.000000e+00
9.800000e-04,R1,-1.378444e-08,0.000000e+00
9.800000e-04,C1,-2.901987e+02,-0.000000e+00
9.900000e-04,V1,4.761905e-02,1.000000e+00
9.900000e-04,R1,-1.247164e-08,0.000000e+00
9.900000e-04,C1,-2.625608e+02,-0.000000e+00
1.000000e-03,V1,4.761905e-02,1.000000e+00
1.000000e-03,R1,-1.128386e-08,0.000000e+00
1.000000e-03,C1,-2.375550e+02,-0.000000e+00
1.010000e-03,V1,4.761905e-02,1.000000e+00
1.010000e-03,R1,2.267472e-04,-0.000000e+00
1.010000e-03,C1,2.267359e+06,0.000000e+00
1.020000e-03,V1,4.761905e-02,1.000000e+00
1.020000e-03,R1,2.051522e-04,-0.000000e+00
1.020000e-03,C1,4.318994e+06,0.000000e+00
1.030000e-03,V1,4.761905e-02,1.000000e+00
1.030000e-03,R1,1.856139e-04,-0.000000e+00
1.030000e-03,C1,3.907661e+06,0.000000e+00
1.040000e-03,V1,4.761905e-02,1.000000e+00
1.040000e-03,R1,1.679364e-04,-0.000000e+00
1.040000e-03,C1,3.535503e+06,0.000000e+00
1.050000e-03,V1,4.761905e-02,1.000000e+00
1.050000e-03,R1,1.519424e-04,-0.000000e+00
1.050000e-03,C1,3.198788e+06,0.000000e+00
1.060000e-03,V1,4.761905e-02,1.000000e+00
1.060000e-03,R1,1.374717e-04,-0.000000e+00
1.060000e-03,C1,2.894142e+06,0.000000e+00
1.070000e-03,V1,4.761905e-02,1.000000e+00
1.070000e-03,R1,1.243792e-04,-0.000000e+00
1.070000e-03,C1,2.618509e+06,0.000000e+00
1.080000e-03,V1,4.761905e-02,1.000000e+00
1.080000e-03,R1,1.125335e-04,-0.000000e+00
1.080000e-03,C1,2.369127e+06,0.000000e+00
1.090000e-03,V1,4.761905e-02,1.000000e+00
1.090000e-03,R1,1.018161e-04,-0.000000e+00
1.090000e-03,C1,2.143496e+06,0.000000e+00
1.100000e-03,V1,4.761905e-02,1.000000e+00
1.100000e-03,R1,9.211930e-05,-0.000000e+00
1.100000e-03,C1,1.939354e+06,0.000000e+00
1.110000e-03,V1,4.761905e-02,1.000000e+00
1.110000e-03,R1,8.334603e-05,-0.000000e+00
1.110000e-03,C1,1.754653e+06,0.000000e+00
1.120000e-03,V1,4.761905e-02,1.000000e+00
1.120000e-03,R1,7.540831e-05,-0.000000e+00
1.120000e-03,C1,1.587543e+06,0.000000e+00
1.130000e-03,V1,4.761905e-02,1.000000e+00
1.130000e-03,R1,6.822657e-05,-0.000000e+00
1.130000e-03,C1,1.436349e+06,0.000000e+00
1.140000e-03,V1,4.761905e-02,1.000000e+00
1.140000e-03,R1,6.172880e-05,-0.000000e+00
1.140000e-03,C1,1.299554e+06,0.000000e+00
1.150000e-03,V1,4.761905e-02,1.000000e+00
1.150000e-03,R1,5.584987e-05,-0.000000e+00
1.150000e-03,C1,1.175787e+06,0.000000e+00
1.160000e-03,V1,4.761905e-02,1.000000e+00
1.160000e-03,R1,5.053083e-05,-0.000000e+00
1.160000e-03,C1,1.063807e+06,0.000000e+00
1.170000e-03,V1,4.761905e-02,1.000000e+00
1.170000e-03,R1,4.571837e-05,-0.000000e+00
1.170000e-03,C1,9.624920e+05,0.000000e+00
1.180000e-03,V1,4.761905e-02,1.000000e+00
1.180000e-03,R1,4.136424e-05,-0.000000e+00
1.180000e-03,C1,8.708261e+05,0.000000e+00
1.190000e-03,V1,4.761905e-02,1.000000e+00
1.190000e-03,R1,3.742479e-05,-0.000000e+00
1.190000e-03,C1,7.878903e+05,0.000000e+00
1.200000e-03,V1,4.761905e-02,1.000000e+00
1.200000e-03,R1,3.386052e-05,-0.000000e+00
1.200000e-03,C1,7.128531e+05,0.000000e+00
1.210000e-03,V1,4.761905e-02,1.000000e+00
